ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
ATM_0041,2022-04-25,Monday,Morning,57450,9308,Standalone,0,0,112953,Rainy,5,44165
ATM_0007,2023-11-24,Friday,Morning,72845,17896,Supermarket,0,0,115348,Clear,0,41249
ATM_0014,2022-08-27,Saturday,Morning,42957,12712,Supermarket,0,0,90731,Cloudy,1,29901
ATM_0029,2023-08-27,Sunday,Evening,43014,1375,Mall,0,0,88754,Rainy,5,44155
ATM_0028,2022-12-15,Thursday,Evening,36379,2938,Bank Branch,0,0,129312,Snowy,0,29784
ATM_0006,2023-01-25,Wednesday,Morning,46613,7278,Standalone,1,0,102218,Snowy,0,49358
ATM_0047,2023-04-16,Sunday,Morning,40990,8541,Gas Station,0,0,87965,Snowy,5,28407
ATM_0040,2023-01-06,Friday,Afternoon,77784,14112,Mall,0,0,75583,Rainy,2,61200
ATM_0006,2022-08-27,Saturday,Morning,30077,10984,Gas Station,0,0,114769,Snowy,1,18557
ATM_0024,2022-12-30,Friday,Afternoon,52570,9421,Standalone,0,0,93977,Clear,4,44240
ATM_0041,2022-06-25,Saturday,Afternoon,43090,15285,Bank Branch,0,0,106872,Snowy,5,23127
ATM_0045,2023-07-25,Tuesday,Afternoon,23554,6615,Standalone,0,0,112233,Clear,1,12890
ATM_0003,2022-11-20,Sunday,Night,65464,14656,Standalone,0,0,83215,Snowy,1,63076
ATM_0042,2023-05-27,Saturday,Night,45361,7604,Gas Station,0,0,96286,Rainy,1,36893
ATM_0048,2023-07-29,Saturday,Evening,62187,16781,Supermarket,0,0,98559,Cloudy,2,38349
ATM_0015,2022-05-22,Sunday,Night,65052,11806,Mall,0,0,130760,Clear,1,63284
ATM_0041,2022-06-13,Monday,Night,10703,14109,Supermarket,0,0,101740,Cloudy,4,0
ATM_0030,2023-06-26,Monday,Evening,45514,8901,Supermarket,0,0,107142,Clear,5,36069
ATM_0047,2022-04-28,Thursday,Evening,37872,7491,Standalone,0,0,118308,Cloudy,1,38027
ATM_0030,2022-01-04,Tuesday,Evening,54931,10485,Supermarket,0,0,119372,Clear,5,51745
ATM_0020,2023-10-17,Tuesday,Afternoon,39469,8361,Bank Branch,0,0,92157,Rainy,4,36710
ATM_0050,2023-06-28,Wednesday,Morning,28047,10025,Supermarket,0,0,95308,Clear,0,20994
ATM_0024,2022-11-11,Friday,Afternoon,44859,5988,Mall,0,0,96774,Clear,0,40097
ATM_0047,2023-05-13,Saturday,Morning,56060,11287,Supermarket,0,0,98511,Rainy,5,59365
ATM_0031,2023-07-17,Monday,Afternoon,21218,9867,Standalone,0,0,101204,Cloudy,1,11103
ATM_0035,2023-12-08,Friday,Afternoon,86948,9038,Standalone,0,0,106030,Snowy,3,67866
ATM_0034,2023-04-08,Saturday,Morning,67142,13759,Bank Branch,0,0,115820,Snowy,0,52361
ATM_0038,2023-07-22,Saturday,Afternoon,36359,12934,Supermarket,0,0,143809,Clear,5,18531
ATM_0041,2022-03-02,Wednesday,Afternoon,35141,7168,Mall,0,1,101993,Snowy,0,40993
ATM_0033,2022-09-01,Thursday,Evening,42447,2246,Gas Station,0,0,101371,Rainy,5,43593
ATM_0037,2023-08-14,Monday,Night,36208,17749,Bank Branch,0,0,84334,Cloudy,1,25698
ATM_0007,2022-04-10,Sunday,Night,45169,14067,Standalone,0,0,75382,Cloudy,5,39961
ATM_0004,2023-11-21,Tuesday,Morning,25887,10923,Mall,0,0,105197,Snowy,0,16851
ATM_0016,2022-07-16,Saturday,Afternoon,61727,12609,Supermarket,0,0,105939,Cloudy,1,60063
ATM_0018,2023-04-19,Wednesday,Afternoon,39799,11161,Mall,0,0,105861,Clear,0,25441
ATM_0042,2023-07-08,Saturday,Morning,39284,19328,Mall,0,1,109476,Rainy,1,36840
ATM_0027,2023-05-13,Saturday,Night,35379,13935,Bank Branch,0,0,123171,Clear,1,24612
ATM_0025,2022-01-03,Monday,Night,37689,14110,Standalone,0,1,137935,Cloudy,2,28914
ATM_0028,2023-12-15,Friday,Night,36657,5920,Bank Branch,0,0,98457,Rainy,0,37577
ATM_0038,2023-07-10,Monday,Morning,55117,10065,Standalone,0,0,129070,Cloudy,4,49301
ATM_0034,2022-06-11,Saturday,Morning,59385,5714,Supermarket,0,0,78582,Rainy,0,64265
ATM_0039,2022-03-11,Friday,Afternoon,57237,8882,Gas Station,0,0,114280,Rainy,4,37579
ATM_0039,2022-02-10,Thursday,Morning,57098,9635,Gas Station,0,0,83064,Snowy,2,58773
ATM_0014,2023-11-17,Friday,Evening,27277,11070,Bank Branch,0,0,75085,Rainy,5,22648
ATM_0042,2022-11-04,Friday,Night,36742,10768,Standalone,0,1,101164,Clear,0,39915
ATM_0030,2023-09-29,Friday,Morning,32855,15415,Mall,0,0,121076,Snowy,1,21038
ATM_0023,2022-03-12,Saturday,Afternoon,57725,12568,Standalone,0,0,110300,Cloudy,4,54244
ATM_0046,2022-11-06,Sunday,Morning,107790,14770,Supermarket,0,0,113027,Clear,1,114724
ATM_0017,2022-04-29,Friday,Morning,38407,8815,Supermarket,0,0,90292,Snowy,4,31079
ATM_0014,2022-12-18,Sunday,Afternoon,51228,13431,Standalone,0,0,67745,Snowy,0,34641
ATM_0006,2023-10-12,Thursday,Night,42921,15444,Standalone,0,0,101285,Snowy,1,38167
ATM_0041,2022-09-26,Monday,Afternoon,33833,6348,Gas Station,0,0,104329,Cloudy,4,22905
ATM_0001,2022-04-25,Monday,Morning,82159,13169,Bank Branch,0,0,59497,Snowy,4,83492
ATM_0036,2022-06-01,Wednesday,Night,52796,6037,Bank Branch,0,0,97705,Snowy,0,36847
ATM_0023,2022-08-04,Thursday,Afternoon,57574,14328,Mall,0,0,75994,Cloudy,4,40705
ATM_0048,2022-06-08,Wednesday,Afternoon,44982,18827,Bank Branch,0,1,108099,Rainy,3,42815
ATM_0002,2022-07-03,Sunday,Evening,81832,15162,Gas Station,0,0,69612,Rainy,2,63791
ATM_0011,2023-12-20,Wednesday,Morning,42736,12219,Gas Station,0,0,115492,Cloudy,1,35587
ATM_0013,2023-04-17,Monday,Evening,1380,4878,Standalone,0,0,94948,Rainy,1,0
